Iteration	World	Goal reward list	Policy	Sensorial changes	C-nodes
1	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
2	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
3	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
4	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
5	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
6	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
7	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
8	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
9	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
10	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
11	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
12	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
13	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
14	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
15	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
16	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
17	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
18	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
19	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
20	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
21	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
22	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
23	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
24	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
25	robotino_world	{'complete_exploration_goal': '0.0', 'complete_mission_goal': '0.0', 'discover_energy_resource_goal': '0.0', 'restore_energy_goal': '0.0', 'safe_operation_goal': '0.0'}	continue_exploring	False	0
